No,Answer Granularity,PIC,Question,Answer,Law,Chapter,Article,Subsection,Letter (1st level)
,Pasal,Ridea,Bagaimana mekanisme penerbitan dan penyerahan sertifikat kepesertaan dan kartu BPJS Ketenagakerjaan bagi perusahaan dan peserta?,"(1) BPJS Ketenagakerjaan menerbitkan sertifikat kepesertaan bagi perusahaan dan Kartu Peserta BPJS Ketenagakerjaan bagi Pemberi Kerja selain penyelenggara negara dan seluruh Pekerja paling lama 7 (tujuh) hari kerja sejak formulir pendaftaran diterima secara lengkap dan benar serta luran pertama dibayar lunas kepada BPJS Ketenagakerjaan.
(2) Pemberi Kerja selain penyelenggara negara menyampaikan Kartu Peserta BPJS Ketenagakerjaan kepada masing-masing Peserta paling lama 3 (tiga) hari kerja sejak diterima dari BPJS Ketenagakerjaan.",PP 44/2015,2,7,,
,Pasal,Ridea,Bagaimana cara mendaftarkan peserta bukan penerima upah kepada BPJS Ketenagakerjaan?,"(1) Peserta bukan penerima Upah sebagaimana dimaksud dalam Pasal 5 ayat (3), wajib mendaftarkan dirinya kepada BPJS Ketenagakerjaan sesuai penahapan kepesertaan.
(2) Dalam hal Peserta sebagaimana dimaksud pada ayat (1) memiliki usaha atau pekerjaan lebih dari 1 (satu), Peserta wajib mencantumkan uraian kegiatan usaha atau pekerjaan tersebut dalam formulir pendaftaran,
paling banyak 2 (dua) jenis pekerjaan.
(3) Pendaftaran kepesertaan kepada BPJS Ketenagakerjaan dapat dilakukan secara sendiri-sendiri, melalui wadah, atau kelompok tertentu yang dibentuk oleh Peserta dengan mengisi formulir pendaftaran.
(4) BPJS Ketenagakerjaan wajib mengeluarkan nomor kepesertaan paling lama 1 (satu) hari kerja sejak formulir pendaftaran diterima secara lengkap dan benar serta luran pertama dibayar lunas kepada BPJS Ketenagakerjaan.
(5) Kepesertaan pada BPJS Ketenagakerjaan mulai berlaku sejak nomor kepesertaan dikeluarkan oleh BPJS Ketenagakerjaan.",PP 44/2015,2,11,,
,Pasal,Ridea,Bagaimana mekanisme iuran JKK bagi peserta penerima upah?,Pasal 16,PP 44/2015,3,16,,
,Pasal,Ridea,Bagaimana mekanisme iuran JKK dan JKM bagi peserta bukan penerima upah?,Pasal 20,PP 44/2015,3,20,,
,Pasal,Ridea,Bagaimana mekanisme iuran JKM bagi peserta penerima upah?,"(1) luran JKM bagi Peserta penerima Upah sebagaimana dimaksud dalam Pasal 5 ayat (2), sebesar 0,30% (nol koma tiga puluh persen) dari Upah sebulan.
(2) luran JKM sebagaimana dimaksud pada ayat (1) wajib dibayar oleh Pemberi Kerja selain penyelenggara negara.",PP 44/2015,3,18,,
,Pasal,Ridea,Bagaimana tata cara pembayaran iuran JKK dan JKM peserta penerima upah yang bekerja pada pemberi kerja selain penyelenggara negara?,"(1) Pemberi Kerja selain penyelenggara negara wajib menyetor luran JKK dan JKM yang menjadi kewajibannya sebagaimana dimaksud dalam Pasal 16 dan Pasal 18 kepada BPJS Ketenagakerjaan.
(2) Pemberi Kerja selain penyelenggara negara wajib membayar luran sebagaimana dimaksud pada ayat (1) setiap bulan, paling lambat tanggal 15 bulan berikutnya dari bulan luran yang bersangkutan dengan melampirkan data pendukung seluruh Pekerja dan dirinya.
(3) Apabila tanggal 15 sebagaimana dimaksud pada ayat (2) jatuh pada hari libur, maka luran dibayarkan pada hari kerja berikutnya.",PP 44/2015,3,21,,
,Pasal,Ridea,Bagaimana mekanisme yang dilakukan oleh BPJS Ketenagakerjaan terkait dengan kelebihan dan kekurangan pembayaran iuran JKK dan JKM?,"(1) BPJS Ketenagakerjaan menghitung kelebihan atau kekurangan luran JKK dan JKM sesuai dengan Upah Pekerja.
(2) Perhitungan kelebihan atau kekurangan luran JKK dan JKM sebagaimana dimaksud pada ayat (1) didasarkan pada daftar Upah Pekerja.
(3) Dalam hal terjadi kelebihan atau kekurangan pembayaran luran sebagaimana dimaksud pada ayat (1), BPJS Ketenagakerjaan memberitahukan secara tertulis kepada Pemberi Kerja selain penyelenggara negara dan/atau Peserta paling lambat 14 (empat belas) hari kerja sejak diterimanya luran.
(4) Kelebihan atau kekurangan pembayaran luran sebagaimana dimaksud pada ayat (2) diperhitungkan dengan pembayaran luran bulan berikutnya.",PP 44/2015,3,23,,
,Pasal,Ridea,Apa saja manfaat JKK yang didapatkan oleh peserta?,Pasal 25,PP 44/2015,4,25,,
,Pasal,Ridea,Apa saja manfaat JKM yang didapatkan oleh ahli waris peserta?,Pasal 34,PP 44/2015,4,34,,
,Pasal,Ridea,Bagaimana tata cara pembayaran manfaat JKM bagi ahli waris peserta?,Pasal 40,PP 44/2015,4,40,,
,Ayat,Ridea,Siapa yang meyelenggarakan program JKK dan JKM?,Program JKK dan JKM diselenggarakan oleh BPJS Ketenagakerjaan.,PP 44/2015,1,2,1,
,Ayat,Ridea,Siapa peserta program JKK dan JKM?,"Peserta program JKK dan JKM terdiri dari:
a. Peserta penerima Upah yang bekerja pada Pemberi Kerja selain penyelenggara negara; dan
b. Peserta bukan penerima Upah.",PP 44/2015,2,5,1,
,Ayat,Ridea,Berapa jumlah iuran JKM bagi peserta bukan penerima upah?,"luran JKM bagi Peserta bukan penerima Upah sebesar Rp6.800,00 (enam ribu delapan ratus rupiah) setiap bulan.",PP 44/2015,3,20,3,
,Ayat,Ridea,Apa pilihan rumah sakit bagi peserta JKK yang membutuhkan rawat inap?,"Dalam hal Peserta membutuhkan rawat inap, maka kelas perawatan di rumah sakit umum pemerintah/pemerintah daerah kelas I setempat atau rumah sakit swasta yang tarifnya setara.",PP 44/2015,4,31,1,
,Ayat,Ridea,Apa saja manfaat JKM yang dibayarkan kepada ahli waris peserta jika peserta meninggal dunia dalam masa aktif?,"Manfaat JKM dibayarkan kepada ahli waris Peserta, apabila Peserta meninggal dunia dalam masa aktif, terdiri atas:
a. santunan sekaligus Rp16.200.000,00 (enam belas juta dua ratus ribu rupiah);
b. santunan berkala 24 x Rp200.000,00 - Rp4.800.000,00 (empat juta delapan ratus ribu rupiah) yang dibayar sekaligus;
c. biaya pemakaman sebesar Rp3.000.000,00 (tiga juta rupiah); dan
d. beasiswa pendidikan anak diberikan kepada setiap Peserta yang meninggal dunia bukan akibat Kecelakaan Kerja dan telah memiliki masa iur paling singkat 5 (lima) tahun.",PP 44/2015,4,34,1,
,Ayat,Ridea,Kapan BPJS Ketenagakerjaan membayar fasilitas kesehatan yang telah memberikan pelayanan kepada peserta?,"BPJS Ketenagakerjaan wajib membayar fasilitas pelayanan kesehatan yang telah memberikan pelayanan kepada Peserta, paling lama 7 (tujuh) hari kerja, sejak dokumen pengajuan pembayaran dari fasilitas pelayanan kesehatan diterima secara lengkap oleh BPJS Ketenagakerjaan.",PP 44/2015,5,46,1,
,Ayat,Ridea,Bagaimana cara penyelesaian sengketa antara peserta dengan fasilitas pelayanan kesehatan dalam program JKK?,"Sengketa dalam penyelenggaraan program JKK antara Peserta dengan fasilitas pelayanan kesehatan dan/atau antara fasilitas pelayanan kesehatan dengan BPJS Ketenagakerjaan dan/atau antara Peserta dengan BPJS ketenagakerjaan, dapat diselesaikan secara musyawarah oleh para pihak yang bersengketa.",PP 44/2015,8,58,1,
,Ayat,Ridea,Apa jenis upah yang dijadikan dasar pembayaran iuran bagi peserta penerima upah?,Upah yang dijadikan dasar pembayaran luran bagi Peserta penerima Upah adalah Upah sebulan.,PP 44/2015,3,19,1,
,Ayat,Ridea,Apa kewajiban peserta yang pindah tempat kerja kepada pemberi kerja tempat kerja baru?,Peserta yang pindah tempat kerja wajib memberitahukan kepesertaannya kepada Pemberi Kerja tempat kerja baru dengan menunjukkan Kartu Peserta BPJS Ketenagakerjaan yang dimilikinya.,PP 44/2015,2,8,1,
,Ayat,Ridea,Apa kewajiban peserta kepada pemberi kerja jika terjadi perubahan data peserta dan keluarganya?,"Peserta wajib menyampaikan perubahan data secara lengkap dan benar kepada Pemberi Kerja selain penyelenggara negara, dalam hal terjadi perubahan data Peserta dan keluarganya.",PP 44/2015,2,9,1,
,Ayat,Ridea,Kapan kepesertaan BPJS Ketenagakerjaan mulai berlaku?,Kepesertaan BPJS Ketenagakerjaan mulai berlaku sejak nomor kepesertaan dikeluarkan oleh BPJS Ketenagakerjaan.,PP 44/2015,2,10,6,
,Ayat,Ridea,Apa saja cara pendaftaran kepesertaan kepada BPJS Ketenagakerjaan?,"Pendaftaran kepesertaan kepada BPJS Ketenagakerjaan dapat dilakukan secara sendiri-sendiri, melalui wadah, atau kelompok tertentu yang dibentuk oleh Peserta dengan mengisi formulir pendaftaran.",PP 44/2015,2,11,3,
,Ayat,Ridea,Kapan BPJS Ketenagakerjaan mengeluarkan nomor kepesertaan?,BPJS Ketenagakerjaan wajib mengeluarkan nomor kepesertaan paling lama 1 (satu) hari kerja sejak formulir pendaftaran diterima secara lengkap dan benar serta luran pertama dibayar lunas kepada BPJS Ketenagakerjaan.,PP 44/2015,2,11,4,
,Ayat,Ridea,Kapan BPJS Ketenagakerjaan mengeluarkan kartu BPJS Ketenagakerjaan?,BPJS Ketenagakerjaan wajib mengeluarkan Kartu Peserta BPJS Ketenagakerjaan paling lama 7 (tujuh) hari kerja sejak formulir pendaftaran diterima secara lengkap dan benar serta luran pertama dibayar lunas.,PP 44/2015,2,12,1,
,Huruf,Ridea,Apa yang dimaksud dengan JKK?,Jaminan Kecelakaan Kerja yang selanjutnya disingkat JKK adalah manfaat berupa uang tunai dan/atau pelayanan kesehatan yang diberikan pada saat peserta mengalami kecelakaan kerja atau penyakit yang disebabkan oleh lingkungan kerja.,PP 44/2015,1,1,,1
,Huruf,Ridea,Apa yang dimaksud dengan JKM?,Jaminan Kematian yang selanjutnya disingkat JKM adalah manfaat uang tunai yang diberikan kepada ahli waris ketika peserta meninggal dunia bukan akibat kecelakaan kerja.,PP 44/2015,1,1,,2
,Huruf,Ridea,Apa yang dimaksud dengan jasa konstruksi?,"Jasa Konstruksi adalah layanan jasa konsultasi perencanaan pekerjaan konstruksi, layanan jasa pelaksanaan pekerjaan konstruksi dan layanan konsultasi pengawasan pekerjaan konstruksi.",PP 44/2015,1,1,,10
,Huruf,Ridea,Berapa biaya pemakaman yang dibayarkan kepada ahli waris jika peserta meninggal dunia?,"Manfaat JKM dibayarkan kepada ahli waris Peserta, apabila Peserta meninggal dunia dalam masa aktif, terdiri atas:
c. biaya pemakaman sebesar Rp3.000.000,00 (tiga juta rupiah).",PP 44/2015,4,34,1,c
,Huruf,Ridea,Berapa jumlah santunan sekaligus yang diberikan kepada ahli waris jika peserta meninggal dunia?,"Manfaat JKM dibayarkan kepada ahli waris Peserta, apabila Peserta meninggal dunia dalam masa aktif, terdiri atas:
a. santunan sekaligus Rp16.200.000,00 (enam belas juta dua ratus ribu rupiah).",PP 44/2015,4,34,1,a
,Huruf,Ridea,Apa saja manfaat JKK yang didapatkan oleh peserta dalam hal pelayanan kesehatan?,"Manfaat JKK sebagaimana dimaksud pada ayat (1) berupa:
a. pelayanan kesehatan sesuai kebutuhan medis yang meliputi:
     1. pemeriksaan dasar dan penunjang;
     2. perawatan tingkat pertama dan lanjutan;
     3. rawat inap kelas I rumah sakit pemerintah, rumah sakit pemerintah daerah, atau rumah sakit swasta yang setara;
     4. perawatan intensif;
     5. penunjang diagnostik;
     6. pengobatan;
     7. pelayanan khusus;
     8. alat kesehatan dan implan;
     9. jasa dokter/medis;
     10. operasi;
     11. transfusi darah; dan/atau
     12. rehabilitasi medik.",PP 44/2015,4,25,2,a
,Huruf,Ridea,Apa saja manfaat JKK yang didapatkan oleh peserta dalam hal santunan?,"Manfaat JKK sebagaimana dimaksud pada ayat (1) berupa:
b. santunan berupa uang meliputi:
     1. penggantian biaya pengangkutan Peserta yang mengalami Kecelakaan Kerja atau penyakit akibat kerja, ke rumah sakit dan/atau ke rumahnya, termasuk biaya pertolongan pertama pada kecelakaan;
     2. santunan sementara tidak mampu bekerja;
     3. santunan Cacat sebagian anatomis, Cacat sebagian fungsi, dan Cacat total tetap;
     4. santunan kematian dan biaya pemakaman;
     5. santunan berkala yang dibayarkan sekaligus apabila Peserta meninggal dunia atau Cacat total tetap akibat Kecelakaan Kerja atau penyakit akibat kerja;
     6. biaya rehabilitasi berupa penggantian alat bantu (orthose) dan/atau alat pengganti (prothese);
     7. penggantian biaya gigi tiruan; dan/atau
     8. beasiswa pendidikan anak bagi setiap Peserta yang meninggal dunia atau Cacat total tetap akibat kecelakaan kerja.",PP 44/2015,4,25,2,b
,Huruf,Ridea,"Kepada siapakah manfaat JKM diberikan, jika janda, duda atau anak tidak ada?","Manfaat JKM sebagaimana dimaksud pada ayat (1), diberikan kepada ahli waris yang sah, meliputi:
b. dalam hal janda, duda, atau anak tidak ada, maka manfaat JKM diberikan sesuai urutan sebagai berikut:
     1. keturunan sedarah menurut garis lurus ke atas dan ke bawah sampai derajat kedua;
     2. saudara kandung;
     3. mertua;
     4. pihak yang ditunjuk dalam wasiatnya oleh Pekerja; dan
     5. bila tidak ada wasiat, biaya pemakaman dibayarkan kepada perusahaan atau pihak lain yang mengurus pemakaman, sedangkan santunan sekaligus dan santunan berkala sebagaimana dimaksud dalam Pasal 34 ayat (1) huruf a dan huruf b diserahkan ke Dana Jaminan Sosial.",PP 44/2015,4,40,2,b
,Huruf,Ridea,Berapa persen iuran JKK bagi peserta penerima upah yang dikelompokkan dalam kelompok tingkat risiko lingkungan kerja tinggi?,"luran JKK bagi Peserta penerima Upah sebagaimana dimaksud dalam Pasal 5 ayat (2), dikelompokkan dalam 5 (lima) kelompok tingkat risiko lingkungan kerja, meliputi:
d. tingkat risiko tinggi: 1,27% (satu koma dua puluh tujuh persen) dari Upah sebulan.",PP 44/2015,3,16,1,d
,Huruf,Ridea,Apa yang dimaksud dengan pemberi kerja?,"Pemberi Kerja adalah orang perseorangan, pengusaha, badan hukum, atau badan-badan lainnya yang mempekerjakan tenaga kerja atau penyelenggara negara yang memperkerjakan pegawai negeri dengan membayar gaji, upah, atau imbalan dalam bentuk lainnya.",PP 44/2015,1,1,,3
,Huruf,Ridea,Apa yang dimaksud dengan kecelakaan kerja?,"Kecelakaan Kerja adalah kecelakaan yang terjadi dalam hubungan kerja, termasuk kecelakaan yang terjadi dalam perjalanan dari rumah menuju tempat kerja atau sebaliknya dan penyakit yang disebabkan oleh lingkungan kerja.",PP 44/2015,1,1,,6
,Huruf,Ridea,Apa yang dimaksud dengan iuran?,luran adalah sejumlah uang yang dibayar secara teratur oleh peserta dan/atau pemberi kerja.,PP 44/2015,1,1,,8
,Huruf,Ridea,Apa yang dimaksud dengan upah?,"Upah adalah hak pekerja yang diterima dan dinyatakan dalam bentuk uang sebagai imbalan dari pemberi kerja kepada pekerja yang ditetapkan dan dibayar menurut suatu perjanjian kerja, kesepakatan, atau peraturan perundang-undangan, termasuk tunjangan bagi pekerja dan keluarganya atas suatu pekerjaan dan/atau jasa yang telah atau akan dilakukan.",PP 44/2015,1,1,,9
,Huruf,Ridea,Apakah orang asing dapat digolongkan sebagai peserta penerima upah?,"Peserta penerima Upah sebagaimana dimaksud pada ayat (1) huruf a, meliputi:
c. orang asing yang bekerja di Indonesia paling singkat 6 (enam) bulan.",PP 44/2015,2,5,2,c
,Bab,Ridea,Apa saja ketentuan kepesertaan dan tata cara pendaftaran program jaminan pensiun?,Pasal 2-13,PP 45/2015,2,,,
,Bab,Ridea,Apa saja manfaat pensiun dalam program jaminan pensiun?,Pasal 14-27,PP 45/2015,3,,,
,Bab,Ridea,Bagaimana pengaturan iuran dalam penyelenggaraan program jaminan pensiun?,Pasal 28-33,PP 45/2015,4,,,
,Bab,Ridea,Bagaimana ketentuan pengawasan dalam penyelenggaraan program jaminan pensiun?,Pasal 36-37,PP 45/2015,6,,,
,Pasal,Ridea,Apa saja jenis manfaat pensiun?,"Manfaat Pensiun berupa:
a. pensiun hari tua;
b. pensiun cacat;
c. pensiun Janda atau Duda;
d. pensiun Anak; atau
e. pensiun Orang Tua.",PP 45/2015,3,16,,
,Pasal,Ridea,Apa saja yang harus diperhatikan oleh penerima manfaat pensiun?,Pasal 26,PP 45/2015,3,26,,
,Pasal,Ridea,Bagaimana pengaturan manfaat pensiun hari tua?,Pasal 19,PP 45/2015,3,19,,
,Pasal,Ridea,Bagaimana pengaturan manfaat pensiun cacat?,Pasal 20,PP 45/2015,3,20,,
,Pasal,Ridea,Bagaimana pengaturan manfaat pensiun janda atau duda?,Pasal 21,PP 45/2015,3,21,,
,Pasal,Ridea,Bagaimana pengaturan manfaat pensiun anak?,Pasal 22,PP 45/2015,3,22,,
,Pasal,Ridea,Bagaimana pengaturan manfaat pensiun orang tua?,Pasal 23,PP 45/2015,3,23,,
,Pasal,Ridea,Apa saja hak peserta yang mencapai usia pensiun sebelum memiliki masa iur 15 tahun?,Pasal 24,PP 45/2015,3,24,,
,Pasal,Ridea,Bagaimana pengaturan besaran iuran pensiun yang wajib dibayarkan?,Pasal 28,PP 45/2015,4,28,,
,Pasal,Ridea,Bagaimana tata cara pembayaran iuran jaminan pensiun?,Pasal 30,PP 45/2015,4,30,,
,Pasal,Ridea,Apa saja ketentuan pembayaran manfaat pensiun?,Pasal 25,PP 45/2015,3,25,,
,Ayat,Ridea,Kapan iuran pensiun wajib dibayar?,Iuran Jaminan Pensiun wajib dibayarkan setiap bulan.,PP 45/2015,4,28,1,
,Ayat,Ridea,Kapan paling lambat pembayaran manfaat pensiun bulan berikutnya?,Pembayaran Manfaat Pensiun bulan berikutnya paling lambat tanggal 1 bulan berjalan.,PP 45/2015,3,25,2,
,Ayat,Ridea,Pada saat kapan manfaat pensiun anak diterima oleh anak?,"Manfaat Pensiun Anak diterima oleh Anak dalam hal:
a. Peserta meninggal dunia dan tidak mempunyai istri atau suami; atau
b. Janda atau Duda dari Peserta meninggal dunia atau menikah lagi.",PP 45/2015,3,22,1,
,Ayat,Ridea,Berapa besar manfaat pensiun yang paling sedikit ditetapkan untuk pertama kali?,"Untuk pertama kali, Manfaat Pensiun paling sedikit ditetapkan sebesar Rp300.000,00 (tiga ratus ribu rupiah) untuk setiap bulan.",PP 45/2015,3,18,1,
,Ayat,Ridea,Berapa besar manfaat pensiun yang paling banyak ditetapkan untuk pertama kali?,"Untuk pertama kali, Manfaat Pensiun paling banyak ditetapkan sebesar Rp3.600.000,00 (tiga juta enam ratus ribu rupiah) untuk setiap bulan.",PP 45/2015,3,18,2,
,Ayat,Ridea,Berapa usia pensiun yang ditetapkan pertama kali?,Untuk pertama kali Usia Pensiun ditetapkan 56 lima puluh enam) tahun.,PP 45/2015,3,15,1,
,Ayat,Ridea,Dengan cara apakah penetapan ahli waris jika terjadi perselisihan dalam penetapannya?,"Dalam hal terjadi perselisihan penetapan ahli waris yang berhak menerima Manfaat Pensiun, penetapan ahli waris diselesaikan secara musyawarah antar ahli waris.",PP 45/2015,3,14,6,
,Ayat,Ridea,Siapa saja yang digolongkan sebagai penerima manfaat pensiun?,"Penerima Manfaat Pensiun terdiri atas:
a. Peserta;
b. 1 (satu) orang istri atau suami yang sah sesuai dengan ketentuan peraturan perundang-undangan;
c. paling banyak 2 (dua) orang Anak; atau
d. 1 (satu) orang Orang Tua.",PP 45/2015,3,14,1,
,Ayat,Ridea,Kapan kepesertaan pada program jaminan pensiun mulai berlaku?,Kepesertaan pada program Jaminan Pensiun mulai berlaku sejak Pekerja terdaftar dan Iuran pertama telah dibayarkan dan disetor oleh Pemberi Kerja selaan penyelenggara negara kepada BPJS Ketenagakerjaan.,PP 45/2015,2,3,1,
,Ayat,Ridea,Kapan hak atas manfaat pensiun hari tua berakhir?,Hak atas Manfaat Pensiun hari tua berakhir pada saat Peserta meninggal dunia.,PP 45/2015,3,19,4,
,Ayat,Ridea,Siapa penerima manfaat pensiun janda atau duda?,Manfaat Pensiun Janda atau Duda diterima oleh istri atau suami dari Peserta yang meninggal dunia.,PP 45/2015,3,21,1,
,Ayat,Ridea,Kapan manfaat pensiun cacat diterima oleh peserta yang mengalami cacat total tetap?,Manfaat Pensiun cacat diterima oleh Peserta yang mengalami Cacat Total Tetap sebelum mencapai Usia Pensiun.,PP 45/2015,3,20,1,
,Huruf,Ridea,Apa yang dimaksud dengan jaminan pensiun?,"Jaminan Pensiun adalah jaminan sosial yang bertujuan untuk mempertahankan derajat kehidupan yang layak bagi peserta dan/atau ahli warisnya dengan memberikan penghasilan setelah peserta memasuki usia pensiun, mengalami cacat total tetap, atau meninggal dunia.",PP 45/2015,1,1,,1
,Huruf,Ridea,Apa yang dimaksud dengan manfaat pensiun?,"Manfaat Pensiun adalah sejumlah uang yang dibayarkan setiap bulan kepada peserta yang memasuki usia pensiun, mengalami cacat total tetap, atau kepada ahli waris bagi peserta yang meninggal dunia.",PP 45/2015,1,1,,3
,Huruf,Ridea,"Selain meninggal dunia, kapan kepesertaan jaminan pensiun dinyatakan berakhir?","Kepesertaan Jaminan Pensiun sebagaimana dimaksud pada ayat (1) berakhir pada saat Peserta:
b. mencapai Usia Pensiun dan menerima akumulasi Iuran beserta hasil pengembangannya secara sekaligus.",PP 45/2015,2,3,4,b
,Huruf,Ridea,Berapa jumlah anak yang dapat dikategorikan sebagai penerima manfaat pensiun?,"Penerima Manfaat Pensiun terdiri atas:
c. paling banyak 2 (dua) orang Anak.",PP 45/2015,3,14,1,c
,Huruf,Ridea,"Apa ketentuan pertama kali, jika manfaat pensiun ingin dibayarkan paling cepat?","Untuk pertama kali, Manfaat Pensiun sebagaimana dimaksud dalam Pasal 16 dibayarkan dengan ketentuan:
a. paling cepat sejak hak atas Manfaat Pensiun mulai diperhitungkan dan dokumen pendukung diterima secara lengkap oleh BPJS Ketenagakerjaan.",PP 45/2015,3,25,1,a
,Huruf,Ridea,"Selain peserta meninggal dunia dan tidak mempunyai istri atau suami, dalam hal apa manfaat pensiun anak diterima oleh anak?","Manfaat Pensiun Anak diterima oleh Anak dalam hal:
b. Janda atau Duda dari Peserta meninggal dunia atau menikah lagi.",PP 45/2015,3,22,1,b
,Huruf,Ridea,"Kapan perubahan daftar penerima manfaat pensiun tidak dapat dilakukan, selain peserta meninggal dunia?","Perubahan daftar penerima Manfaat Pensiun tidak dapat dilakukan setelah Peserta:
a. menerima Manfaat Pensiun pertama.",PP 45/2015,3,14,4,a
,Huruf,Ridea,Berkas apakah yang harus dilampirkan oleh pekerja untuk mendaftar program jaminan pensiun selain KTP dan KK?,"Pendaftaran oleh Pekerja sebagaimana dimaksud pada ayat (1) dilakukan dengan mengisi formulir pendaftaran dan melampirkan:
a. perjanjian kerja, surat keputusan pengangkatan, atau bukti lain yang menunjukkan sebagai Pekerja.",PP 45/2015,2,5,2,a
,Huruf,Ridea,Apa yang dimaksud dengan penerima manfaat pensiun?,Penerima Manfaat Pensiun adalah peserta atau ahli waris peserta yang berhak menerima manfaat pensiun.,PP 45/2015,1,1,,10
,Huruf,Ridea,Bagaimana perhitungan manfaat pensiun pada satu tahun pertama?,"Manfaat Pensiun sebagaimana dimaksud dalam Pasal 16 ditetapkan sebagai berikut:
a. untuk 1 (satu) tahun pertama, Manfaat Pensiun dihitung berdasarkan formula Manfaat Pensiun.",PP 45/2015,3,17,1,a
,Huruf,Ridea,Bagaimana perhitungan manfaat pensiun pada setiap satu tahun selanjutnya?,"Manfaat Pensiun sebagaimana dimaksud dalam Pasal 16 ditetapkan sebagai berikut:
b. untuk setiap 1 (satu) tahun selanjutnya, Manfaat Pensiun dihitung sebesar Manfaat Pensiun tahun sebelumnya dikali faktor indeksasi.",PP 45/2015,3,17,1,b
,Bab,Ridea,Bagaimana ketentuan kepesertaan dan tata cara pendaftaran dalam penyelenggaraan program jaminan hari tua?,Pasal 2-15,PP 46/2015,2,,,
,Bab,Ridea,Bagaimana pengaturan mengenai besarnya iuran dan tata cara pembayaran program JHT?,Pasal 16-21,PP 46/2015,3,,,
,Bab,Ridea,Apa saja manfaat dan tata cara pembayaran program JHT?,Pasal 22-32,PP 46/2015,4,,,
,Bab,Ridea,Bagaimana pengawasan dalam program JHT?,Pasal 35,PP 46/2015,6,,,
,Bab,Ridea,Bagaimana ketentuan penanganan keluhan dalam program JHT?,Pasal 36,PP 46/2015,7,,,
,Pasal,Ridea,Bagaimana mekanisme perubahan data peserta dan keluarga pada penyelenggaraan program JHT?,Pasal 10,PP 46/2015,2,10,,
,Pasal,Ridea,Bagaimana mekanisme penerbitan kartu kepesertaan BPJS Ketenagakerjaan?,Pasal 8,PP 46/2015,2,8,,
,Pasal,Ridea,Hal apa saja yang harus diperhatikan oleh peserta program JHT yang pindah tempat kerja?,Pasal 9,PP 46/2015,2,9,,
,Pasal,Ridea,Bagaimana pengaturan manfaat JHT?,Pasal 22,PP 46/2015,4,22,,
,Pasal,Ridea,Bagaimana mekanisme pemberian manfaat JHT apabila peserta meninggal dunia?,Pasal 23,PP 46/2015,4,23,,
,Pasal,Ridea,Peraturan apa yang mengatur penyelenggaraan program JHT bagi peserta pada pemberi kerja penyelenggara negara?,Penyelenggaraan program JHT bagi Peserta pada Pemberi Kerja penyelenggara negara diatur dalam Peraturan Pemerintah tersendiri.,PP 46/2015,2,3,,
,Pasal,Ridea,Bagaimana mekanisme dan cara pendaftaran program JHT secara mandiri?,Pasal 11,PP 46/2015,2,11,,
,Pasal,Ridea,Bagaimana mekanisme pendaftaran kepesertaan program JHT oleh peserta bukan penerima upah?,Pasal 13,PP 46/2015,2,13,,
,Pasal,Ridea,Bagaimana pengaturan besarnya iuran JHT bagi peserta bukan penerima upah?,Pasal 18,PP 46/2015,3,18,,
,Pasal,Ridea,Kapan pembayaran manfaat JHT dilakukan bagi peserta yang telah pensiun dan memilih menunda untuk menerima serta tetap menjadi peserta dan membayar iuran?,"Dalam hal Peserta masih bekerja pada usia pensiun dan memilih untuk menunda menerima pembayaran manfaat JHT pada usia 56 (lima enam) tahun serta tetap menjadi Peserta dan membayar Iuran, pembayaran manfaat JHT dapat dilakukan pada saat Peserta berhenti bekerja.",PP 46/2015,4,29,,
,Pasal,Ridea,Kapan BPJS Ketenagakerjaan menetapkan besarnya JHT peserta dan memberitahukannya?,BPJS Ketenagakerjaan menetapkan besarnya JHT paling lama 30 (tiga puluh) hari sebelum Peserta mencapai usia pensiun dan wajib memberitahukan kepada Peserta yang bersangkutan.,PP 46/2015,4,30,,
,Ayat,Ridea,Siapa yang termasuk peserta program JHT?,"Peserta program JHT terdiri atas:
a. Peserta penerima Upah yang bekerja pada Pemberi Kerja selain penyelenggara negara; dan
b. Peserta bukan penerima Upah.",PP 46/2015,2,4,1,
,Ayat,Ridea,Kapan BPJS Ketenagakerjaan mengeluarkan nomor kepesertaan JHT?,BPJS Ketenagakerjaan wajib mengeluarkan nomor kepesertaan paling lama 1 (satu) hari kerja sejak formulir pendaftaran diterima secara lengkap dan benar serta Iuran pertama dibayar lunas kepada BPJS Ketenagakerjaan.,PP 46/2015,2,7,2,
,Ayat,Ridea,Dalam kondisi apa sajakah manfaat JHT wajib dibayarkan?,"Manfaat JHT wajib dibayarkan kepada Peserta apabila:
a. Peserta mencapai usia pensiun;
b. Peserta mengalami cacat total tetap;
c. Peserta meninggal dunia; atau
d. Peserta meninggalkan Indonesia untuk selama-lamanya.",PP 46/2015,4,26,1,
,Ayat,Ridea,Kapan manfaat JHT diberikan bagi peserta yang dikenai pemutusan hubungan kerja atau berhenti sebelum usia pensiun?,"Manfaat JHT bagi Peserta yang dikenai pemutusan hubungan kerja atau berhenti bekerja sebelum usia pensiun, dibayarkan pada saat Peserta mencapai usia 56 (lima puluh enam) tahun.",PP 46/2015,4,26,3,
,Ayat,Ridea,Siapakah penerima manfaat JHT jika peserta meninggal dunia?,"Apabila Peserta meninggal dunia, maka manfaat JHT diberikan kepada ahli waris yang sah.",PP 46/2015,4,23,1,
